,Electricity Bill(Monthly in Rs.),Gas Bill (Monthly in Rs.),Oil Bill (Monthly in Rs),Car Mileage (Yearly in Rs.),No. of flights in Past year(4hr or less),No. of flights in past year (4hrs or more),Recycled Newspaper past year,Recycled Aluminium and Tin Past year,CO2 Footprint (Tonnes)
0,5322.5546872656705,1594.0044283022419,3478.366660059623,17605.02560536118,60,26,No,No,656.9760549748017
1,5124.8303721922175,339.6551069996956,488.2663747599391,52565.78197352315,61,28,No,Yes,430.47802171105354
2,8936.016302030617,2206.75127827946,199.87921583027247,31374.61324660039,11,47,Yes,Yes,718.1314458930966
3,9460.93878590352,3769.0128041868516,4904.934421018641,31060.831027743105,41,50,No,No,1116.6952815232564
4,1192.1710246983087,940.1425237752201,4553.955099950903,15137.897795345827,30,37,Yes,Yes,473.1243940712478
5,2459.9552986609606,3382.903049713362,1322.9688341620338,34166.33632246454,188,14,No,No,529.3685052671802
6,5207.426741163803,1048.4906453545,3359.4365570065374,66398.02720936514,20,14,No,No,586.4460490107796
7,9359.32228804972,1523.8220942088,4710.874563424445,17405.297599559948,175,48,Yes,Yes,1046.2545854538796
8,3649.2192664463228,2176.467295258841,3170.1093507756286,44982.0278471917,83,12,No,Yes,574.8696238079849
9,130.87088809919288,1338.3332224164158,3560.626615899927,19645.29119084552,140,45,No,Yes,462.16050962079936
10,8292.18572843583,1043.6506349492124,2097.5428938046257,81915.10845695758,39,21,No,No,708.8240504181742
11,3977.185697305843,113.17078113471956,4110.89283560376,46703.22524864792,20,49,Yes,No,584.339934302958
12,8729.249030609359,97.78700675630313,4702.733634795844,75694.91669862003,7,38,Yes,No,846.5563344236175
13,80.65019162696413,3454.4751186598924,3855.929271463172,59411.428944515974,164,9,Yes,Yes,536.921597060813
14,5367.301100230491,2489.7770218611954,2382.6626045401104,60558.475486080875,70,21,Yes,No,655.8206363833317
15,4649.893652989906,1896.375027695419,1025.6526527236874,73255.1700653738,3,9,Yes,Yes,452.01427279069054
16,2901.571861444923,2421.6658982633644,4195.546801687638,11452.23635057328,66,13,Yes,Yes,585.9420100385131
17,439.48619941741487,3492.0552889959586,2549.4709417021872,75581.17381851586,133,16,No,Yes,488.7476000061895
18,9406.17300875181,1707.803836562669,4478.250598421067,8416.315029344896,94,14,Yes,No,922.4123876263917
19,5112.595044664924,2857.8582776940298,2545.3093731007957,24364.89381330122,73,5,Yes,No,623.115912060294
20,5716.435029992311,2702.3893624917773,1241.9690506910513,19988.36665889173,27,1,No,Yes,537.1969367997214
21,8284.041579948691,918.4524084394583,4204.158717428756,54131.78860405146,64,3,No,No,784.0229584237029
22,7153.394794812966,2520.367272885992,1015.2899393726693,70928.55538070053,199,27,Yes,No,762.1861695041279
23,4819.130911948026,3160.623516721406,2320.8157733785033,54281.23831764681,54,34,Yes,No,676.087287836501
24,2312.7384798604767,258.4635179044212,299.3327485355012,37049.07966510087,26,21,No,Yes,227.12679164262784
25,3546.996104376174,2975.978799473221,4487.950628815017,75559.89840307448,102,49,No,No,789.9465528493561
26,6172.9571063585845,2661.3630141954836,1548.5734142737056,9472.084496434076,140,46,No,Yes,733.3296776116443
27,2743.173970940155,1965.142927577516,2780.7927428484054,13675.145664623087,7,49,Yes,Yes,521.3531096806388
28,5538.135646861454,2854.3566509860752,1853.4022443193264,35848.096086046746,146,32,No,No,710.3580703950257
29,9079.756156370779,628.2387322058651,3164.6319223744827,71129.3727576115,178,11,No,Yes,838.7595375036886
30,954.4985880020388,748.6647264922988,1623.4667121090706,73447.13205152383,95,5,Yes,No,273.4865604054672
31,6448.420928685681,2505.428955324236,891.5391867276717,25871.90400398822,86,26,No,Yes,635.2604850422094
32,9164.304952536848,42.748706464537314,1994.327995479832,12544.477505809977,60,23,Yes,No,684.6879174569782
33,3763.743753233252,389.33802441376497,4878.907527440669,24628.46641893651,152,42,No,No,679.5983128623461
34,6966.53606620178,2910.2213973071885,1702.0549871967764,80339.29585697675,182,11,No,Yes,770.8218954743446
35,238.91410521982596,1295.6065763879806,1681.4273150380325,11024.920557269099,4,23,Yes,Yes,232.71782270417998
36,2120.061378310323,2266.4338322635467,2546.515904084813,36772.58223909102,188,39,Yes,No,577.9773171203611
37,6882.035582017134,2987.583390356317,3537.9157860853493,74023.33875795717,186,42,Yes,No,942.0694567728216
38,892.0256850895494,110.51303288460822,2084.23108962288,26710.040547986813,169,10,No,No,296.0678052737908
39,4666.3344868951335,4001.3658110432434,1823.554176934744,64477.76602444977,12,2,No,Yes,594.6457942182354
40,6374.428791993302,431.4019134395537,4923.74076042487,46846.57629103696,122,3,Yes,Yes,727.7018626341896
41,1461.8411712741063,3601.3695050766246,5082.547062915083,56008.46256119071,60,5,Yes,Yes,619.105812274786
42,1786.3599808069457,1095.6537496755036,1394.0062001973224,36991.60350923319,50,8,No,Yes,289.87075454762436
43,3616.7811018567877,567.4907915498484,3540.395829671647,31972.701821423707,182,49,No,No,640.4108559997588
44,1926.2498687587922,3201.888446467187,2234.031219300892,80753.63915249045,116,37,No,Yes,572.639712905098
45,6372.812534349341,2807.9937653566976,1807.3686969378227,80308.84562838016,73,0,No,No,656.1556561347642
46,8528.846273797813,784.4299834832971,1494.688423783843,23404.92472001395,173,7,No,Yes,693.2838447154509
47,8312.028667568327,1299.072818867357,4279.259498638586,47587.85859485794,200,41,No,Yes,965.4501938559224
48,1441.2844997229984,727.1963272555839,2390.7363823951755,59522.41963642467,152,2,Yes,No,360.5162047780907
49,4626.218425088108,2861.732761292005,887.0279655058682,30860.66790308904,104,47,Yes,Yes,616.0244811577576
50,5849.10840820402,1586.5389160632858,656.9901530094473,69890.17790343938,193,10,No,Yes,583.3400484409258
51,7164.855804866563,3095.0911116098473,1158.565362995461,11018.437075229505,8,27,No,No,672.4334387689707
52,2679.6363445089523,1731.0169862649143,3875.355660651691,30140.45334492875,57,29,Yes,Yes,557.5723737636954
53,3950.834790631898,2382.2426496692,1955.775759192843,23982.860494296645,19,4,No,No,471.88612590545046
54,498.6787274741538,230.25580862270155,4198.086417668085,78956.61274975463,12,22,Yes,Yes,361.64880777948486
55,8059.129303885155,2742.820671307117,792.7501837631517,28873.890495447475,67,8,Yes,Yes,677.747945825914
56,8705.746366657628,1719.0254135883486,3265.006820635717,57729.49252320907,43,25,No,Yes,833.3185533754994
57,3879.2899424218976,388.7873330221294,3289.2053597504873,9122.603335166825,35,50,No,Yes,542.8595881041049
58,4191.824208823955,908.571044250148,1359.1565009490168,64846.4737107358,5,39,Yes,Yes,458.72745020575053
59,8506.958207548698,3172.3516826029845,1765.9222212563968,55364.63850548133,131,29,No,No,870.832406943615
60,2409.1934505288573,3218.6886707607528,1940.540319987256,9099.419480263356,124,30,Yes,No,542.9816101416885
61,8293.196220364387,562.4496457232631,997.2273259072372,45588.58093660144,54,46,No,No,670.347241353318
62,9082.87680946431,1793.7140036685116,5012.9228448046915,70433.71931520298,178,18,No,Yes,1019.6644775504434
63,153.3686693376362,1400.0624299349777,236.53792650805573,12165.171524356167,39,44,No,No,218.14976831163807
64,5451.110252735404,3852.49244976755,3373.837908731025,75708.82815930907,36,0,No,Yes,728.8579708476352
65,4458.838464443162,1395.532118974068,2001.3584982719194,69844.16242249496,16,38,Yes,Yes,540.4196549386536
